País,Dorsal,Nombre,Edad,Altura_m,Posición,Atajadas,Balones_recuperados,Asistencias,Goles
España,1,Unai Simón,26,1.86,Portero,180.0,,,
España,2,Álvaro Odriozola,28,1.84,Defensa,,450.0,,
España,3,Robin Le Normand,27,1.87,Defensa,,420.0,,
España,4,Aymeric Laporte,29,1.89,Defensa,,550.0,,
España,5,José Luis Gayà,28,1.81,Defensa,,380.0,,
España,6,Sergio Busquets,34,1.83,Mediocampista,,,120.0,
España,7,Pedri,21,1.74,Mediocampista,,,85.0,
España,8,Gavi,20,1.73,Mediocampista,,,60.0,
España,9,Carlos Soler,26,1.82,Mediocampista,,,55.0,
España,10,Álvaro Morata,31,1.86,Delantero,,,,280.0
España,11,Ferran Torres,24,1.84,Delantero,,,,95.0
